<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
USD000UTSTOM;D;12/03/15;000000;67.5080000
USD000UTSTOM;D;12/04/15;000000;68.1350000
USD000UTSTOM;D;12/07/15;000000;69.4990000
USD000UTSTOM;D;12/08/15;000000;69.4000000
USD000UTSTOM;D;12/09/15;000000;69.3680000
USD000UTSTOM;D;12/10/15;000000;69.1500000
USD000UTSTOM;D;12/11/15;000000;70.3620000
USD000UTSTOM;D;12/14/15;000000;70.5550000
USD000UTSTOM;D;12/15/15;000000;69.9410000
USD000UTSTOM;D;12/16/15;000000;70.3960000
USD000UTSTOM;D;12/17/15;000000;71.1830000
USD000UTSTOM;D;12/18/15;000000;70.9480000
USD000UTSTOM;D;12/21/15;000000;71.2330000
USD000UTSTOM;D;12/22/15;000000;71.2330000
USD000UTSTOM;D;12/23/15;000000;69.8000000
USD000UTSTOM;D;12/24/15;000000;70.2400000
USD000UTSTOM;D;12/25/15;000000;70.6890000
USD000UTSTOM;D;12/28/15;000000;72.2250000
USD000UTSTOM;D;12/29/15;000000;72.2050000
USD000UTSTOM;D;12/30/15;000000;73.5900000
USD000UTSTOM;D;01/04/16;000000;73.1600000
USD000UTSTOM;D;01/05/16;000000;73.3160000
USD000UTSTOM;D;01/06/16;000000;74.7600000
USD000UTSTOM;D;01/11/16;000000;76.2110000
USD000UTSTOM;D;01/12/16;000000;77.0650000
USD000UTSTOM;D;01/13/16;000000;76.6770000
USD000UTSTOM;D;01/14/16;000000;76.0510000
USD000UTSTOM;D;01/15/16;000000;77.6030000
USD000UTSTOM;D;01/18/16;000000;79.2900000
USD000UTSTOM;D;01/19/16;000000;78.5610000
USD000UTSTOM;D;01/20/16;000000;81.4000000
USD000UTSTOM;D;01/21/16;000000;82.6300000
USD000UTSTOM;D;01/22/16;000000;78.0240000
USD000UTSTOM;D;01/25/16;000000;80.0400000
USD000UTSTOM;D;01/26/16;000000;78.3000000
USD000UTSTOM;D;01/27/16;000000;77.6670000
USD000UTSTOM;D;01/28/16;000000;76.3970000
USD000UTSTOM;D;01/29/16;000000;75.4300000
USD000UTSTOM;D;02/01/16;000000;77.3100000
USD000UTSTOM;D;02/02/16;000000;79.7550000
USD000UTSTOM;D;02/03/16;000000;76.9040000
USD000UTSTOM;D;02/04/16;000000;76.9690000
USD000UTSTOM;D;02/05/16;000000;77.4700000
USD000UTSTOM;D;02/08/16;000000;78.5440000
USD000UTSTOM;D;02/09/16;000000;79.7010000
USD000UTSTOM;D;02/10/16;000000;78.6060000
USD000UTSTOM;D;02/11/16;000000;79.5920000
USD000UTSTOM;D;02/12/16;000000;78.3400000
USD000UTSTOM;D;02/15/16;000000;76.9500000
USD000UTSTOM;D;02/16/16;000000;77.8990000
USD000UTSTOM;D;02/17/16;000000;75.0320000
USD000UTSTOM;D;02/18/16;000000;76.5000000
USD000UTSTOM;D;02/19/16;000000;76.9860000
USD000UTSTOM;D;02/20/16;000000;77.0500000
USD000UTSTOM;D;02/22/16;000000;75.3000000
USD000UTSTOM;D;02/24/16;000000;75.7110000
USD000UTSTOM;D;02/25/16;000000;75.3850000
USD000UTSTOM;D;02/26/16;000000;76.2000000
USD000UTSTOM;D;02/29/16;000000;75.2000000
USD000UTSTOM;D;03/01/16;000000;73.3920000
USD000UTSTOM;D;03/02/16;000000;73.0700000
USD000UTSTOM;D;03/03/16;000000;73.1710000
USD000UTSTOM;D;03/04/16;000000;71.9700000
USD000UTSTOM;D;03/07/16;000000;71.4710000
USD000UTSTOM;D;03/09/16;000000;71.1410000
USD000UTSTOM;D;03/10/16;000000;71.4550000
USD000UTSTOM;D;03/11/16;000000;69.8830000
USD000UTSTOM;D;03/14/16;000000;69.9600000
USD000UTSTOM;D;03/15/16;000000;71.0400000
USD000UTSTOM;D;03/16/16;000000;69.1230000
USD000UTSTOM;D;03/17/16;000000;68.1000000
USD000UTSTOM;D;03/18/16;000000;68.3890000
USD000UTSTOM;D;03/21/16;000000;67.8220000
USD000UTSTOM;D;03/22/16;000000;67.5000000
USD000UTSTOM;D;03/23/16;000000;68.7370000
USD000UTSTOM;D;03/24/16;000000;68.5270000
USD000UTSTOM;D;03/25/16;000000;68.4540000
